ENCH_FormID	ENCH_EDID	ENCH_FULL	ENIT_Flags	ENIT_CastType	ENIT_TargetType	ENIT_EnchantType	ENIT_ChargeTime	ENIT_EnchantCost	ENIT_EnchantAmount	Effects_Flat	Effect_1	Effect_2	Effect_3	Effect_4	Effect_5	Effect_6	Effect_7	Effect_8	Effect_9	Effect_10	Effect_11	Effect_12	Effect_13	Effect_14	Effect_15	Effect_16	Effect_17	Effect_18	Effect_19	Effect_20	Globals_Flat	Glob_1	Glob_2	Glob_3	Glob_4	Glob_5	Glob_6	Glob_7	Glob_8	Glob_9	Glob_10	ReferencedBy_Flat	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30	Ref_31	Ref_32	Ref_33	Ref_34	Ref_35	Ref_36	Ref_37	Ref_38	Ref_39	Ref_40
00696D8D	"SCORE_S12_EnchPlayer_Jetpack_BoSInfantry_Daring_FX"	"Jetpack"	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=SCORE_S12_abPlayerJetpack_BoSInfantry_Daring_FX[00696D8F];FULL=Player BoS Infantry Daring Jetpack Geo;EffID=0;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=SCORE_S12_abPlayerJetpack_BoSInfantry_Daring_FX[00696D8F];FULL=Player BoS Infantry Daring Jetpack Geo;EffID=0;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:Daring Jetpack[0068FD12]"	"OMOD:Daring Jetpack[0068FD12]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00696D8C	"SCORE_S12_EnchPlayer_Jetpack_SecretService_Daring_FX"	"Jetpack"	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=SCORE_S12_abPlayerJetpack_SecretService_Daring_FX[00696D8E];FULL=Player Secret Service Daring Jetpack Geo;EffID=0;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=SCORE_S12_abPlayerJetpack_SecretService_Daring_FX[00696D8E];FULL=Player Secret Service Daring Jetpack Geo;EffID=0;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:Daring Jetpack[0068FD15] | OMOD:Daring Jetpack[007AEECF]"	"OMOD:Daring Jetpack[0068FD15]"	"OMOD:Daring Jetpack[007AEECF]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0069B2C4	"EnchPowerArmor_Jetpack_VertiguardBloodEagle"	"Jetpack"	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=abPowerArmorJetpack_VertiguardBloodEagle[0069B2C5];FULL=Power Armor Jetpack Effect;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=abPowerArmorJetpack_VertiguardBloodEagle[0069B2C5];FULL=Power Armor Jetpack Effect;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:ATX_PARENT_mod_PowerArmor_VertiguardBloodEagle_Jetpack[00692AAA]"	"OMOD:ATX_PARENT_mod_PowerArmor_VertiguardBloodEagle_Jetpack[00692AAA]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0069CBED	"ench_Legendary_Armor_WeightWeapons"	""	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=Legendary_Armor_WeightWeaponsAddPerk[0069CBF0];FULL=Add Legendary Weight Weapons Perk;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=Legendary_Armor_WeightWeaponsAddPerk[0069CBF0];FULL=Add Legendary Weight Weapons Perk;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0069CBEF	"zzz_UNUSED_ENCH"	""	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=zzz_UNUSED_ME_01[0069CBF2];FULL=Add Legendary Weight Ammo Perk;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=zzz_UNUSED_ME_01[0069CBF2];FULL=Add Legendary Weight Ammo Perk;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0069CBEE	"ench_Legendary_Armor_WeightFoodDrinkChems"	""	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=Legendary_Armor_WeightFoodDrinkChemsAddPerk[0069CBF1];FULL=Add Legendary Weight FoodDrinkChems Perk;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=Legendary_Armor_WeightFoodDrinkChemsAddPerk[0069CBF1];FULL=Add Legendary Weight FoodDrinkChems Perk;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006A426A	"zzz_ench_Legendary_Armor_WeightAmmo"	""	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=zzz_Legendary_Armor_WeightAmmoAddPerk[006A426D];FULL=Add Legendary Weight Ammo Perk;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=zzz_Legendary_Armor_WeightAmmoAddPerk[006A426D];FULL=Add Legendary Weight Ammo Perk;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006A426B	"ench_Legendary_Armor_WeightFoodDrinkChemsDUPLICATE000"	""	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=Legendary_Armor_WeightFoodDrinkChemsAddPerkDUPLICATE000[006A426E];FULL=Add Legendary Weight FoodDrinkChems Perk;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=Legendary_Armor_WeightFoodDrinkChemsAddPerkDUPLICATE000[006A426E];FULL=Add Legendary Weight FoodDrinkChems Perk;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:Thru-hiker's[0052BDB5] | OMOD:Thru-hiker's[0060626F]"	"OMOD:Thru-hiker's[0052BDB5]"	"OMOD:Thru-hiker's[0060626F]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006A426C	"ench_Legendary_Armor_WeightWeaponsDUPLICATE000"	""	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=Legendary_Armor_WeightWeaponsAddPerkDUPLICATE000[006A426F];FULL=Add Legendary Weight Weapons Perk;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=Legendary_Armor_WeightWeaponsAddPerkDUPLICATE000[006A426F];FULL=Add Legendary Weight Weapons Perk;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:Arms Keeper's[00527F78] | OMOD:Arms Keeper's[0060626B]"	"OMOD:Arms Keeper's[00527F78]"	"OMOD:Arms Keeper's[0060626B]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006C1C63	"ench_Weapon_ChanceCripple"	""	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=ModWeaponChanceCrippleAddPerk[006C1C65];FULL=Chance to Cripple;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=ModWeaponChanceCrippleAddPerk[006C1C65];FULL=Chance to Cripple;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006C2D5C	"ench_LegendaryWeapon_DamageAddiction"	""	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=abFortifyDamageAll[003DC3A0];FULL=Fortify All Damage;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[] | Effect2:MGEF=AbDamageAddiction_Description[006C2D5D];FULL=Junkie's;EffID=2;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=abFortifyDamageAll[003DC3A0];FULL=Fortify All Damage;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=AbDamageAddiction_Description[006C2D5D];FULL=Junkie's;EffID=2;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:Junkie's[004F6AAB]"	"OMOD:Junkie's[004F6AAB]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006C316C	"ench_Legendary_Weapon_DamageFirstBlood"	""	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=AbLegendary_Weapon_DamageFirstBlood[006C316D];FULL=Instigating;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=AbLegendary_Weapon_DamageFirstBlood[006C316D];FULL=Instigating;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:Instigating[004F6AA5]"	"OMOD:Instigating[004F6AA5]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006C316F	"ench_Legendary_Weapon_AccuracyNotInCombat"	""	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=AbLegendary_Weapon_AccuracyNotInCombat[006C3170];FULL=Stalker's;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=AbLegendary_Weapon_AccuracyNotInCombat[006C3170];FULL=Stalker's;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006C3173	"ench_Legendary_Weapon_DmgConsecutiveHits"	""	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=AbLegendary_Weapon_DmgConsecutiveHits[006C3174];FULL=Furious;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=AbLegendary_Weapon_DmgConsecutiveHits[006C3174];FULL=Furious;EffID=1;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:Furious[004F577D]"	"OMOD:Furious[004F577D]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006D7186	"EnchPowerArmor_Generic_Union_Torso"	"Union PA Bonuses"	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=AbFortifyResistPoison[006779EE];FULL=Fortify Poison Resist;EffID=4;Mag=150.000000;Dur=0;Area=0;MAGG=[];CVTO=[] | Effect2:MGEF=AbFortifyCarryWeight[0004B24F];FULL=Fortify Carry Weight;EffID=3;Mag=75.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=AbFortifyResistPoison[006779EE];FULL=Fortify Poison Resist;EffID=4;Mag=150.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=AbFortifyCarryWeight[0004B24F];FULL=Fortify Carry Weight;EffID=3;Mag=75.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ARMO:Union Chest Piece[0064B91B]"	"ARMO:Union Chest Piece[0064B91B]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006D7187	"EnchPowerArmor_Generic_Excavator_Torso"	"Excavator Bonuses"	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=AbFortifyCarryWeight[0004B24F];FULL=Fortify Carry Weight;EffID=1;Mag=100.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=AbFortifyCarryWeight[0004B24F];FULL=Fortify Carry Weight;EffID=1;Mag=100.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ARMO:Excavator Torso[0032E18A]"	"ARMO:Excavator Torso[0032E18A]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006D9A92	"ATX_EnchBackpack_Effect_ScrapRat"	"Scrap Rat Backpack Mod"	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=ATX_Backpack_ScrapRat_ApplyPerk[006D9A9C];FULL=Scrap Rat;EffID=3;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=ATX_Backpack_ScrapRat_ApplyPerk[006D9A9C];FULL=Scrap Rat;EffID=3;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:Scrap Rat[006D9A9D]"	"OMOD:Scrap Rat[006D9A9D]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006DB5FF	"FlamerFXEnchFireHit_Blue"	""	"1 | 1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=FXFireHitVisuals_Blue[006DB601];FULL=FX Shader Fire;EffID=0;Mag=3.000000;Dur=3;Area=0;MAGG=[];CVTO=[]"	"MGEF=FXFireHitVisuals_Blue[006DB601];FULL=FX Shader Fire;EffID=0;Mag=3.000000;Dur=3;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:Holy Fire[006A983C] | WEAP:Auto Grenade Launcher[0072A8C2]"	"OMOD:Holy Fire[006A983C]"	"WEAP:Auto Grenade Launcher[0072A8C2]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006DED99	"EnchPowerArmor_Generic_Excavator_Arm"	"Mining Yield"	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=AbPowerArmor_Excavator_MiningYield_AddPerk[006DED9B];FULL=Mining Yield;EffID=2;Mag=0.000000;Dur=0;Area=0;MAGG=Excavator_VeinAdd_ECON[00018252];CVTO=[]"	"MGEF=AbPowerArmor_Excavator_MiningYield_AddPerk[006DED9B];FULL=Mining Yield;EffID=2;Mag=0.000000;Dur=0;Area=0;MAGG=Excavator_VeinAdd_ECON[00018252];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Excavator_VeinAdd_ECON[00018252]"	"Excavator_VeinAdd_ECON[00018252]"	""	""	""	""	""	""	""	""	""	"ARMO:Excavator Left Arm[0032E182] | ARMO:Excavator Right Arm[0032E188]"	"ARMO:Excavator Left Arm[0032E182]"	"ARMO:Excavator Right Arm[0032E188]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006B460A	"crEnchJerseyDevilSinsterGaze"	"Jersey Devil Sinister Gaze"	"1 | 1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=crJerseyDevilSinisterGazeStaggerEffect[0073BE51];FULL=Jersey Devil Sinister Gaze Stagger Effect;EffID=10;Mag=0.250000;Dur=0;Area=0;MAGG=[];CVTO=[] | Effect2:MGEF=crJerseyDevilSinisterGazeHealthDOTEffect[00739857];FULL=Jersey Devil Sinister Gaze Health DOT Effect;EffID=6;Mag=125.000000;Dur=0;Area=0;MAGG=[];CVTO=[] | Effect3:MGEF=crJerseyDevilSinisterGazeDamageAPEffect[00739858];FULL=Jersey Devil Sinister Gaze Damage AP Effect;EffID=4;Mag=250.000000;Dur=0;Area=0;MAGG=[];CVTO=[] | Effect4:MGEF=crJerseyDevilSinisterGazePABatteryDrainEffect[00739855];FULL=Jersey Devil Sinister Gaze PA Fusion Core Drain Effect;EffID=2;Mag=50.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=crJerseyDevilSinisterGazeStaggerEffect[0073BE51];FULL=Jersey Devil Sinister Gaze Stagger Effect;EffID=10;Mag=0.250000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=crJerseyDevilSinisterGazeHealthDOTEffect[00739857];FULL=Jersey Devil Sinister Gaze Health DOT Effect;EffID=6;Mag=125.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=crJerseyDevilSinisterGazeDamageAPEffect[00739858];FULL=Jersey Devil Sinister Gaze Damage AP Effect;EffID=4;Mag=250.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=crJerseyDevilSinisterGazePABatteryDrainEffect[00739855];FULL=Jersey Devil Sinister Gaze PA Fusion Core Drain Effect;EffID=2;Mag=50.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EXPL:crExplosionJerseyDevilSinisterGaze[006B52A9]"	"EXPL:crExplosionJerseyDevilSinisterGaze[006B52A9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006DED21	"ZZZ_ench_Weapon_Circuitbreaker"	""	"1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006E7A10	"EnchPowerArmor_Jetpack_Communist_Blacklist"	"Jetpack"	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=abPowerArmorJetpack_Communist_Blacklist[006E7A13];FULL=Power Armor Jetpack Effect;EffID=0;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=abPowerArmorJetpack_Communist_Blacklist[006E7A13];FULL=Power Armor Jetpack Effect;EffID=0;Mag=1.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:ATX_PARENT_mod_PowerArmor_DarkStar_Jetpack[006E7A1D]"	"OMOD:ATX_PARENT_mod_PowerArmor_DarkStar_Jetpack[006E7A1D]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006EBCD0	"ench_Weapon_AddCircuitbreakerPerk"	""	"1"	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=CircuitBreaker_ApplyPerk[006EBCD2];FULL=Apply Perk CircuitBreaker;EffID=0;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=CircuitBreaker_ApplyPerk[006EBCD2];FULL=Apply Perk CircuitBreaker;EffID=0;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:Circuit Breaker[006DC8DD] | OMOD:Circuitbreaker Effect[006EBCD5]"	"OMOD:Circuit Breaker[006DC8DD]"	"OMOD:Circuitbreaker Effect[006EBCD5]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006B3A2C	"DEL_XPD_OvergrownPollinator_Poison_Breath"	"Overgrown Poison"	"1 | 1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=XPD_OvergrownPoisonEffect[006B3A2F];FULL=Overgrown Poison;EffID=3;Mag=1.000000;Dur=4;Area=0;MAGG=[];CVTO=[] | Effect2:MGEF=XPD_OvergrownPollinatorDrainAPEffect[006B3A33];FULL=Overgrown AP Drain;EffID=5;Mag=5.000000;Dur=4;Area=0;MAGG=[];CVTO=[] | Effect3:MGEF=XPD_OvergrownPollinator_DamageArmorEffect[006B3A35];FULL=Overgrown Poison;EffID=6;Mag=10.000000;Dur=4;Area=0;MAGG=[];CVTO=[] | Effect4:MGEF=FloaterFreezerGrenadeEffect[00594858];FULL=Floater Freezer Slow;EffID=7;Mag=10.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	"MGEF=XPD_OvergrownPoisonEffect[006B3A2F];FULL=Overgrown Poison;EffID=3;Mag=1.000000;Dur=4;Area=0;MAGG=[];CVTO=[]"	"MGEF=XPD_OvergrownPollinatorDrainAPEffect[006B3A33];FULL=Overgrown AP Drain;EffID=5;Mag=5.000000;Dur=4;Area=0;MAGG=[];CVTO=[]"	"MGEF=XPD_OvergrownPollinator_DamageArmorEffect[006B3A35];FULL=Overgrown Poison;EffID=6;Mag=10.000000;Dur=4;Area=0;MAGG=[];CVTO=[]"	"MGEF=FloaterFreezerGrenadeEffect[00594858];FULL=Floater Freezer Slow;EffID=7;Mag=10.000000;Dur=5;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
006B3A29	"DEL_XPD_OvergrownPollinator_Poison_Spit"	"Overgrown Poison"	"1 | 1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=XPD_OVergrownPollinatorPoisonSpit_HealEffect[006C3329];FULL=Overgrown Poison;EffID=7;Mag=25.000000;Dur=4;Area=0;MAGG=[];CVTO=[]"	"MGEF=XPD_OVergrownPollinatorPoisonSpit_HealEffect[006C3329];FULL=Overgrown Poison;EffID=7;Mag=25.000000;Dur=4;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
